variant,database_name,node_count,relationship_count,edge_density_directed,average_degree,weakly_connected_components,largest_wcc_size,largest_wcc_ratio,strongly_connected_components,largest_scc_size,largest_scc_ratio,average_shortest_path_length,graph_diameter,global_efficiency,reciprocity,status,error
full,titanic-1997-mkv-full,2288,14521,0.002536570338275629,11.602272727272727,19,2270,0.9921328671328671,397,1855,0.8107517482517482,617.7164339070183,1853,0.017365532146363445,0.00301363670609508,success,
no_yolo,titanic-1997-mkv-no-yolo,2257,13007,0.0023412189657393704,10.566238369517057,15,2243,0.9937970757642889,365,1845,0.8174568010633585,614.3892345496123,1843,0.01596076510132206,0.004109359275410936,success,
no_asr,titanic-1997-mkv-no-asr,2316,15177,0.002716943266300354,12.580310880829016,10,2307,0.9961139896373057,434,1845,0.7966321243523317,614.4002133925894,1843,0.016067645008135643,0.001029654036243822,success,
no_ast,titanic-1997-mkv-no-ast,2322,15927,0.0026795379490188263,12.439276485788113,15,2308,0.9939707149009475,406,1850,0.7967269595176572,616.0434075395027,1848,0.017918895390354787,0.004223791718598532,success,
no_blip,titanic-1997-mkv-no-blip,2212,10393,0.0018592308881369905,8.221518987341772,18,2195,0.9923146473779385,310,1853,0.8377034358047016,617.041505281844,1851,0.014973033557189375,0.005718684702518421,success,
